ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
68000,2,1,996,5227,1914,100,1
89900,2,1.5,1610,5227,1900,114,1
94900,3,1,1056,5227,1951,63,0
124900,2,1,1000,4356,1927,87,1
335000,4,2,2257,5662,1927,87,2
259900,3,2.5,1836,9583,1941,73,4
160000,2,1,992,6534,1922,92,1
224900,4,1.5,1260,6534,1916,98,2
164500,2,1,860,5227,1909,105,1
124900,2,1,1040,4791,1900,114,1
199000,5,2,2144,4791,1980,34,2
235900,3,1,1344,6534,1925,89,2
39959,4,1.5,2480,5227,1909,105,2
25450,3,1.75,1762,3484,1900,114,1
199900,3,1,1221,5227,1925,89,2
219900,3,1.75,1272,4791,1948,66,2
195000,3,1,1512,5227,1950,64,2
169900,3,1,1198,3484,1900,114,2
210000,3,1.5,1465,5662,1913,101,2
215000,3,1.5,1716,,1920,94,2
219900,2,1,1003,3484,1939,75,1
184900,3,1,1020,10890,2004,10,2
389900,5,3.25,2170,5227,1908,106,1
119000,2,1,1109,,1950,64,1
72000,4,1,1812,5662,1908,106,2
164900,3,1,1116,5227,1951,63,1
69900,3,1,1198,4791,1922,92,2
895000,4,2.75,2562,11761,1907,107,2
71900,2,1,744,,1916,98,1
174900,2,1,1307,4791,1950,64,2
89900,3,1,1134,5227,1953,61,1
214900,3,2,1344,4356,1916,98,1
88372,2,1,730,4791,1918,96,1
35000,1,1,768,4791,1913,101,2
65000,2,1,986,5227,1926,88,1
149900,3,1,1843,6969,1918,96,3
169900,2,1,824,4791,1925,89,2
84900,3,1.5,1756,5227,1930,84,1
48500,1,1,833,5662,1920,94,2
175000,3,1,997,5227,1922,92,2
150900,3,2.5,1456,5662,1979,35,2
64900,3,1,1350,6098,1928,86,1
139900,3,1,1460,4356,1924,90,1
174900,4,2.75,1760,4791,1941,73,1
104900,3,2,1252,6534,1922,92,4
119900,5,2,1355,6534,1887,127,1
179900,2,1.5,1140,7840,1952,62,2
89900,2,1,1094,5227,1923,91,1
149900,3,2,2006,5227,1912,102,2
96900,4,1.75,1679,5227,1947,67,3
89900,2,1,1187,5227,1895,119,1
339000,3,1,1680,5227,1900,114,2
125000,2,1,1372,5227,1924,90,2
109900,3,2,1632,5662,1930,84,2
75000,3,1,1132,7405,1913,101,2
69500,2,1,1564,,1948,66,2
749000,5,3.25,2879,4791,1910,104,2
99900,3,1.25,1442,5662,1917,97,1
122000,3,1,1346,5662,1933,81,5
224900,4,2,1915,10454,1946,68,3
158900,3,1.75,2300,5227,1965,49,2
389900,4,2.25,2018,6098,1995,19,2
